duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,2.500000,0.000000,0.000000,0.000000,-0.187563,0.224949,-0.115087,0.023068,-4.150000,0.000000,0.000000,0.000000,1.477570,-1.705160,0.848115,-0.161206,2.500000,0.000000,0.000000,0.000000,0.123762,-0.148423,0.075932,-0.015219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.499460,-0.007964,-0.041458,-0.079780,-0.001655,0.082823,-0.071894,0.025267,-4.145696,0.063738,0.334046,0.654841,0.053068,-0.646904,0.544025,-0.187503,2.500356,0.005255,0.027357,0.052646,0.001097,-0.054650,0.047436,-0.016671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.493690,-0.042516,-0.092667,-0.048683,0.048292,0.007435,-0.027506,0.014112,-4.098955,0.347093,0.772030,0.447967,-0.348079,-0.071849,0.214145,-0.107298,2.504164,0.028055,0.061151,0.032131,-0.031861,-0.004907,0.018149,-0.009311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.476699,-0.094951,-0.111231,-0.002410,0.039517,-0.015885,-0.003276,0.004780,-3.958315,0.795015,0.976596,0.107233,-0.295808,0.112902,0.029681,-0.037526,2.515376,0.062659,0.073408,0.001602,-0.026072,0.010481,0.002162,-0.003154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.446110,-0.148870,-0.100796,0.026808,0.019204,-0.014815,0.004650,0.000144,-3.697889,1.287246,0.964703,-0.113867,-0.147377,0.110398,-0.032712,-0.001994,2.535563,0.098245,0.066532,-0.017675,-0.012669,0.009776,-0.003068,-0.000096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.403073,-0.193303,-0.075527,0.038226,0.005123,-0.007732,0.004673,-0.001143,-3.318038,1.740997,0.839329,-0.202741,-0.041138,0.059358,-0.034445,0.008301,2.563965,0.127578,0.049870,-0.025206,-0.003377,0.005102,-0.003085,0.000753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.350638,-0.223705,-0.045895,0.039820,-0.000786,-0.002213,0.002608,-0.000995,-2.833610,2.121048,0.679273,-0.216409,0.005307,0.018525,-0.019370,0.007333,2.598574,0.147659,0.030331,-0.026255,0.000520,0.001457,-0.001724,0.000656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.292461,-0.239264,-0.016538,0.038330,-0.001652,0.000416,0.000879,-0.000615,-2.264240,2.420700,0.520866,-0.204574,0.014315,-0.001112,-0.006572,0.004030,2.636977,0.157954,0.010975,-0.025273,0.001084,-0.000283,-0.000585,0.000407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.232204,-0.240438,0.011694,0.037129,-0.000644,0.000938,-0.000169,-0.000456,-1.629654,2.643617,0.372328,-0.192457,0.008968,-0.005814,0.000307,0.001895,2.676761,0.158762,-0.007643,-0.024493,0.000405,-0.000633,0.000110,0.000306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.173404,-0.227653,0.039426,0.036955,0.000120,0.000084,-0.000965,-0.000464,-0.948456,2.794148,0.230497,-0.186768,0.003024,-0.002914,0.003536,0.001127,2.715592,0.150362,-0.025948,-0.024408,-0.000116,-0.000067,0.000642,0.000314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
