duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,2.384000,0.000000,0.000000,-0.000000,0.200567,-0.242365,0.124575,-0.025208,-3.749000,0.000000,0.000000,0.000000,2.843491,-3.404813,1.739215,-0.347856,2.441000,0.000000,0.000000,0.000000,-0.321022,0.391441,-0.202412,0.041413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.384576,0.008489,0.044125,0.084572,0.000614,-0.088817,0.077430,-0.027300,-3.740814,0.120814,0.629080,1.211429,0.027755,-1.256045,1.087642,-0.381784,2.440081,-0.013534,-0.070231,-0.133963,0.001167,0.142515,-0.125072,0.044278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.390710,0.045119,0.097884,0.050140,-0.052747,-0.007727,0.029480,-0.015108,-3.653241,0.645420,1.407703,0.741847,-0.731425,-0.114906,0.416872,-0.212825,2.430331,-0.071568,-0.154418,-0.076755,0.086271,0.011752,-0.047324,0.024326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.408684,0.100162,0.115919,-0.000289,-0.043029,0.017300,0.003548,-0.004947,-3.395193,1.442488,1.691911,0.039781,-0.600629,0.239936,0.051461,-0.071021,2.401927,-0.157783,-0.180070,0.005398,0.069897,-0.028340,-0.005585,0.007817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.440814,0.155728,0.102376,-0.032074,-0.020783,0.016444,-0.004620,0.000064,-2.930309,2.263230,1.535559,-0.404516,-0.291304,0.228318,-0.066047,-0.000767,2.351556,-0.243010,-0.154405,0.056906,0.033512,-0.026964,0.007295,-0.000261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.485577,0.199897,0.072827,-0.044015,-0.004525,0.009669,-0.004221,0.001204,-2.275781,2.941027,1.154722,-0.573866,-0.068246,0.129316,-0.063558,0.016412,2.282149,-0.307933,-0.102950,0.075809,0.006503,-0.016467,0.006350,-0.001903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.539406,0.227941,0.039407,-0.043651,0.004262,0.004855,-0.001970,0.000221,-1.477475,3.408704,0.715549,-0.578907,0.042790,0.054915,-0.033197,0.006750,2.199926,-0.345075,-0.045894,0.073746,-0.009167,-0.009305,0.002741,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.598193,0.239810,0.008914,-0.036941,0.008604,0.002064,-0.001518,-0.000954,-0.589410,3.661498,0.304188,-0.511246,0.084002,0.012748,-0.020984,-0.002284,2.111897,-0.354932,0.004689,0.059651,-0.018102,-0.004622,0.003004,0.002116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.658161,0.237908,-0.015351,-0.027652,0.009239,-0.001599,-0.003234,0.002060,0.337324,3.723105,-0.047030,-0.426146,0.079016,-0.022869,-0.025653,0.017578,2.024315,-0.342604,0.042137,0.039889,-0.019905,0.002949,0.006792,-0.004309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.716280,0.225579,-0.033022,-0.020141,0.005335,-0.003826,0.000256,0.000786,1.258783,3.624059,-0.341725,-0.367037,0.035993,-0.038819,0.003946,0.008952,1.941847,-0.315210,0.065359,0.023360,-0.012208,0.007665,-0.000519,-0.001396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
