duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-1.500000,0.000000,0.000000,0.000000,0.073930,-0.090379,0.046866,-0.009620,-4.000000,0.000000,0.000000,0.000000,0.884172,-1.011236,0.499523,-0.093662,2.500000,0.000000,0.000000,0.000000,0.048550,-0.059935,0.031287,-0.006500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.499789,0.003114,0.016151,0.030773,-0.000368,-0.032783,0.028911,-0.010258,-3.997418,0.038277,0.200907,0.395445,0.037208,-0.386353,0.322497,-0.110621,2.500138,0.002036,0.010541,0.019979,-0.000592,-0.021581,0.019174,-0.006841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.497547,0.016447,0.035454,0.017548,-0.019852,-0.002587,0.010903,-0.005667,-3.969273,0.209356,0.467703,0.276837,-0.203890,-0.044803,0.127807,-0.063672,2.501599,0.010695,0.022915,0.010955,-0.013334,-0.001603,0.007168,-0.003755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.491023,0.036227,0.041288,-0.001289,-0.015964,0.006565,0.001178,-0.001895,-3.884190,0.482137,0.598055,0.076180,-0.174895,0.065917,0.018313,-0.022433,2.505824,0.023377,0.026223,-0.001654,-0.010671,0.004378,0.000725,-0.001233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.479461,0.055764,0.035391,-0.013041,-0.007689,0.005962,-0.001961,-0.000037,-3.725702,0.785873,0.600517,-0.054860,-0.087598,0.065267,-0.019007,-0.001321,2.513244,0.035599,0.021683,-0.009531,-0.005193,0.003926,-0.001316,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.463537,0.070639,0.023543,-0.017622,-0.002095,0.003006,-0.001936,0.000490,-3.492842,1.071532,0.535580,-0.107786,-0.024555,0.035408,-0.020270,0.004818,2.523334,0.044398,0.013124,-0.012678,-0.001506,0.002005,-0.001218,0.000399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.444687,0.079023,0.009907,-0.018376,0.000115,0.000744,-0.001057,0.000479,-3.193235,1.318158,0.449976,-0.115887,0.003337,0.011288,-0.011504,0.004198,2.535051,0.048522,0.003301,-0.013257,0.000076,0.000700,-0.000500,0.000388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.424598,0.080547,-0.003768,-0.018062,0.000316,-0.000218,-0.000226,0.000407,-2.837362,1.521786,0.365488,-0.108517,0.008956,-0.000589,-0.004176,0.002131,2.547182,0.047703,-0.006525,-0.012847,0.000694,0.000449,0.000193,0.000221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.404978,0.075291,-0.017235,-0.017897,0.000055,-0.000023,0.000486,0.000387,-2.435734,1.684711,0.287165,-0.100943,0.005470,-0.004138,-0.000570,0.000838,2.558502,0.042085,-0.015815,-0.011782,0.001557,0.001005,0.000610,-0.000157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.387512,0.063325,-0.030604,-0.017651,0.000693,0.001203,0.001199,0.000205,-1.998169,1.809626,0.212847,-0.098123,0.000221,-0.003897,0.000779,0.000773,2.567858,0.032089,-0.023877,-0.009427,0.003300,0.001665,0.000386,-0.000947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.373865,0.044787,-0.043321,-0.015804,0.003433,0.003218,0.001655,-0.000998,-1.533995,1.897595,0.138790,-0.099988,-0.003497,-0.001665,0.002081,-0.000692,2.574255,0.018622,-0.029447,-0.005095,0.005225,0.000926,-0.001241,0.000305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.365606,0.020449,-0.053307,-0.009979,0.008462,0.004266,0.000041,-0.003074,-1.052499,1.948002,0.062336,-0.103970,-0.004006,0.000606,0.000888,-0.000699,2.577011,0.003281,-0.031231,0.000362,0.005385,-0.000616,-0.000726,0.000201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.363944,-0.007468,-0.057012,0.000742,0.012151,0.000119,-0.005332,0.003031,-0.563242,1.959441,-0.017012,-0.107415,-0.002798,0.001063,-0.000303,-0.000567,2.575906,-0.011946,-0.029074,0.005163,0.004045,-0.001500,-0.000418,0.000537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-1.369316,-0.035099,-0.052131,0.011715,0.008958,-0.004035,-0.000148,0.000906,-0.076133,1.930638,-0.098485,-0.109721,-0.002064,-0.000105,-0.001300,-0.000058,2.571197,-0.025293,-0.023933,0.008214,0.002072,-0.001454,0.000478,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
