duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,2.500000,0.000000,0.000000,0.000000,-0.562181,0.693637,-0.361894,0.075090,2.500000,0.000000,0.000000,0.000000,0.546872,-0.627544,0.310776,-0.058579,1.000000,0.000000,0.000000,0.000000,0.492374,-0.568780,0.283326,-0.054143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.498398,-0.023581,-0.122102,-0.231484,0.006654,0.249880,-0.221942,0.079079,2.501596,0.023644,0.124032,0.243766,0.021760,-0.239156,0.200142,-0.068786,1.001434,0.021232,0.111259,0.218024,0.017408,-0.215579,0.181401,-0.062532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.481475,-0.123904,-0.265559,-0.127201,0.154179,0.018486,-0.083160,0.043403,2.518964,0.129110,0.287964,0.169193,-0.127171,-0.027357,0.079095,-0.039494,1.017000,0.115575,0.256967,0.148833,-0.116200,-0.023849,0.071374,-0.035786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.432516,-0.270950,-0.304236,0.018478,0.123060,-0.051106,-0.008704,0.014322,2.571376,0.296729,0.366720,0.044241,-0.108814,0.041053,0.011182,-0.013833,1.063818,0.264593,0.324739,0.035140,-0.098667,0.037700,0.009855,-0.012509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.346482,-0.412937,-0.252432,0.108835,0.058849,-0.046256,0.014986,0.000104,2.668786,0.482427,0.365881,-0.037312,-0.054580,0.040495,-0.011823,-0.000678,1.150464,0.428158,0.320305,-0.038595,-0.049144,0.036808,-0.010943,-0.000661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.229360,-0.515883,-0.155085,0.143472,0.015136,-0.023879,0.014462,-0.003710,2.811501,0.655681,0.323051,-0.070370,-0.015416,0.022112,-0.012356,0.003171,1.276761,0.578656,0.278027,-0.068244,-0.013754,0.019742,-0.011515,0.002781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.092978,-0.565967,-0.044765,0.147695,-0.003184,-0.007016,0.007762,-0.003070,2.994471,0.803413,0.267289,-0.075393,0.002374,0.007711,-0.006578,0.002706,1.437698,0.704337,0.224152,-0.072878,0.001649,0.006101,-0.006468,0.002486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.950978,-0.560952,0.064108,0.142132,-0.006356,0.000690,0.002410,-0.001596,3.210867,0.923186,0.212509,-0.069886,0.007325,0.001287,-0.001804,0.000992,1.626664,0.802937,0.170737,-0.069098,0.004571,-0.000404,-0.002129,0.001432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.816944,-0.502620,0.168540,0.136743,-0.004107,0.002272,-0.000314,-0.002084,3.453883,1.016811,0.162957,-0.062184,0.007786,-0.000231,-0.000073,0.001166,1.837007,0.875617,0.120470,-0.065249,0.002853,-0.001761,0.000324,0.000272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.703945,-0.392929,0.269851,0.133673,-0.002702,-0.000891,-0.003987,-0.001383,3.717329,1.087114,0.119222,-0.054406,0.008067,0.001068,0.002001,-0.000780,2.062430,0.923764,0.072353,-0.063357,0.001105,-0.000935,0.000772,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.624655,-0.233151,0.368691,0.128979,-0.008311,-0.008558,-0.006665,0.000689,3.995742,1.137059,0.081710,-0.045153,0.010851,0.002883,0.000727,-0.003370,2.296907,0.948116,0.025148,-0.062595,0.000659,0.000209,0.000774,-0.000171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.591383,-0.025347,0.460595,0.113330,-0.024880,-0.017277,-0.005982,0.003871,4.284453,1.170181,0.052339,-0.032734,0.013294,-0.000640,-0.005186,0.003043,2.534533,0.949004,-0.021476,-0.061586,0.001553,0.001123,0.000509,0.000265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.615489,0.224279,0.533292,0.076312,-0.049968,-0.020424,0.000159,0.015746,4.579808,1.191006,0.032432,-0.021044,0.009297,-0.004564,0.000003,0.000831,2.769487,0.926840,-0.066873,-0.059136,0.003579,0.002180,0.001038,-0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.705868,0.501740,0.568929,0.015781,-0.066738,0.001436,0.027743,-0.015888,4.879290,1.203769,0.019439,-0.014485,0.004049,-0.003530,0.001353,-0.000151,2.996110,0.882587,-0.109494,-0.053953,0.006948,0.002845,0.000076,-0.002253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,1.866854,0.785155,0.557261,-0.043563,-0.047623,0.022908,0.000624,-0.004568,5.181233,1.210965,0.009619,-0.012240,0.000823,-0.001712,0.001038,-0.000363,3.209100,0.818211,-0.146950,-0.045510,0.009344,-0.000132,-0.003869,0.002224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.097127,1.053085,0.510253,-0.077298,-0.020901,0.018167,-0.006832,0.000502,5.484386,1.213502,0.000533,-0.012212,-0.000541,-0.000623,0.000385,-0.000240,3.403793,0.736765,-0.177780,-0.037154,0.006768,-0.003117,-0.000070,0.000615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.391016,1.292727,0.446890,-0.088912,-0.004323,0.008647,-0.005698,0.001615,5.787601,1.211435,-0.008908,-0.013055,-0.001090,-0.000344,-0.000045,0.000020,3.576315,0.641271,-0.203587,-0.032273,0.003142,-0.002463,0.000934,-0.000145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,2.740729,1.499369,0.379635,-0.089390,0.002027,0.002193,-0.002807,0.001175,6.089695,1.204458,-0.019164,-0.014370,-0.001551,-0.000362,-0.000022,0.000388,3.723415,0.533580,-0.226946,-0.030398,0.000860,-0.001266,0.000642,-0.000360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,3.137911,1.672581,0.313555,-0.086709,0.002779,-0.000516,-0.000765,0.000526,6.389381,1.192079,-0.030573,-0.016101,-0.001812,0.000140,0.000661,-0.000398,3.842153,0.414440,-0.249589,-0.030178,-0.000318,-0.000771,-0.000010,-0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,3.574309,1.813260,0.249450,-0.084419,0.001705,-0.000998,0.000126,0.000119,6.685231,1.173666,-0.043276,-0.017673,-0.001234,0.000628,-0.000016,-0.000104,3.929690,0.283951,-0.272469,-0.031020,-0.001446,-0.001137,-0.000541,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,4.041901,1.922245,0.186629,-0.083282,0.000640,-0.000663,0.000315,-0.000038,6.975663,1.148649,-0.056899,-0.018535,-0.000522,0.000475,-0.000185,0.000023,3.983157,0.141785,-0.296484,-0.033336,-0.003338,-0.001811,-0.000479,0.000867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,4.532828,1.999973,0.124322,-0.082963,0.000086,-0.000243,0.000241,-0.000062,7.258978,1.116700,-0.070932,-0.018814,-0.000089,0.000229,-0.000138,0.000046,3.999537,-0.012953,-0.323032,-0.037837,-0.005576,-0.001309,0.000538,0.000346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,5.039295,2.046580,0.062107,-0.082962,-0.000026,0.000037,0.000133,-0.000058,7.533426,1.077705,-0.085047,-0.018798,0.000092,0.000080,-0.000056,0.000025,3.975495,-0.181934,-0.353667,-0.044017,-0.006519,0.000048,0.001143,0.001878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,5.553525,2.062078,-0.000112,-0.082931,0.000114,0.000160,0.000037,-0.000085,7.797243,1.031664,-0.099101,-0.018669,0.000154,0.000027,-0.000012,-0.000012,3.907195,-0.367417,-0.389011,-0.049892,-0.004360,0.004289,0.004556,0.002848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,6.067742,2.046482,-0.062243,-0.082718,0.000301,0.000098,-0.000110,-0.000155,8.048674,0.978623,-0.113043,-0.018505,0.000169,-0.000009,-0.000032,-0.000052,3.790237,-0.571434,-0.427069,-0.049758,0.006830,0.014750,0.009979,0.001080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,6.574181,1.999871,-0.124163,-0.082411,0.000237,-0.000273,-0.000389,-0.000206,8.285976,0.918642,-0.126862,-0.018358,0.000100,-0.000127,-0.000126,-0.000073,3.619952,-0.793523,-0.458915,-0.030443,0.035214,0.030601,0.012791,-0.007466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,7.065102,1.922344,-0.185952,-0.082495,-0.000582,-0.001118,-0.000783,-0.000056,8.507421,0.851772,-0.140622,-0.018387,-0.000217,-0.000409,-0.000267,-0.000018,3.392584,-1.025828,-0.463164,0.026873,0.081374,0.038774,0.000923,-0.026821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,7.532773,1.813837,-0.248263,-0.084029,-0.002745,-0.002325,-0.000952,0.000609,8.711287,0.777990,-0.154573,-0.018946,-0.000988,-0.000818,-0.000323,0.000221,3.107953,-1.246569,-0.406932,0.129101,0.116038,0.003292,-0.045890,0.026052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,7.969390,1.673729,-0.312721,-0.088442,-0.006211,-0.002861,0.000027,0.002084,8.895822,0.697072,-0.169296,-0.020516,-0.002193,-0.000980,0.000034,0.000741,2.773342,-1.418736,-0.268232,0.236418,0.091379,-0.032713,-0.001274,0.004337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,8.366868,1.500345,-0.381784,-0.096148,-0.008623,0.000039,0.003671,0.004078,9.059179,0.608423,-0.185641,-0.023209,-0.002980,0.000087,0.001332,0.001430,2.405912,-1.503452,-0.061748,0.307546,0.051665,-0.029706,0.005444,-0.008022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,8.716558,1.290915,-0.456824,-0.103042,-0.002903,0.010930,0.011129,0.004605,9.199309,0.511076,-0.204044,-0.025523,-0.000840,0.003971,0.003951,0.001571,2.031169,-1.473994,0.183798,0.341249,0.015249,-0.032288,-0.009546,-0.011510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
