duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.250000,-5.175000,0.000000,0.000000,0.000000,-0.171753,0.203231,-0.102973,0.020278,-6.750000,0.000000,0.000000,0.000000,1.086320,-1.234600,0.606888,-0.112681,2.500000,0.000000,0.000000,0.000000,0.165915,-0.196875,0.099954,-0.019758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.175497,-0.007334,-0.038270,-0.074140,-0.003161,0.075619,-0.064910,0.022661,-6.746821,0.047145,0.247713,0.488942,0.050405,-0.474030,0.393613,-0.134567,2.500479,0.007076,0.036908,0.071402,0.002723,-0.073094,0.062888,-0.021986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.180833,-0.039432,-0.086583,-0.047225,0.042903,0.007366,-0.025080,0.012759,-6.712091,0.258646,0.579557,0.347684,-0.246712,-0.056606,0.156718,-0.077783,2.505624,0.037992,0.083294,0.045089,-0.041710,-0.007005,0.024249,-0.012357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.196671,-0.088879,-0.105971,-0.005812,0.035575,-0.014033,-0.003163,0.004362,-6.606760,0.597876,0.746546,0.103934,-0.213084,0.079522,0.022927,-0.027547,2.520867,0.085470,0.101542,0.004889,-0.034490,0.013660,0.003025,-0.004215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.225480,-0.141015,-0.099277,0.020600,0.017453,-0.013318,0.004074,0.000151,-6.409759,0.978960,0.757794,-0.056050,-0.107251,0.079378,-0.022923,-0.001703,2.548537,0.135279,0.094500,-0.020694,-0.016883,0.012921,-0.003967,-0.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.266561,-0.185937,-0.079121,0.031024,0.004708,-0.007082,0.004129,-0.001030,-6.118880,1.342057,0.686562,-0.121086,-0.030450,0.043235,-0.024624,0.005904,2.587885,0.177823,0.074432,-0.030761,-0.004528,0.006856,-0.004012,0.000995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.317493,-0.219502,-0.054974,0.032455,-0.000838,-0.002231,0.002260,-0.000865,-5.742429,1.661442,0.589763,-0.131402,0.003738,0.014006,-0.013878,0.005225,2.636500,0.209100,0.050520,-0.032122,0.000825,0.002135,-0.002207,0.000832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.375302,-0.240988,-0.031181,0.030811,-0.001981,0.000052,0.000748,-0.000405,-5.292237,1.932120,0.494095,-0.122533,0.011091,-0.000115,-0.004739,0.002660,2.691436,0.228419,0.026959,-0.030538,0.001880,-0.000111,-0.000754,0.000397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.437024,-0.250920,-0.008772,0.029041,-0.001437,0.000663,0.000058,-0.000065,-4.780198,2.156861,0.406114,-0.112631,0.007960,-0.003850,-0.000198,0.000771,2.749756,0.236284,0.004707,-0.028909,0.001251,-0.000739,-0.000081,0.000101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.499853,-0.249938,0.012575,0.028027,-0.000589,0.000673,-0.000036,0.000076,-4.217333,2.339222,0.324028,-0.107033,0.003384,-0.003187,0.001056,-0.000049,2.808673,0.233281,-0.016624,-0.028132,0.000306,-0.000734,0.000073,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.561116,-0.238419,0.033480,0.027858,0.000261,0.000716,0.000119,0.000013,-3.613938,2.481323,0.244586,-0.105317,0.000364,-0.001673,0.000920,-0.000150,2.865515,0.219699,-0.037718,-0.028259,-0.000529,-0.000582,0.000102,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.618191,-0.216424,0.054590,0.028605,0.001273,0.000891,0.000167,-0.000292,-2.979966,2.583864,0.165524,-0.105732,-0.000947,-0.000476,0.000644,0.000066,2.917639,0.195498,-0.059192,-0.029099,-0.001079,-0.000216,0.000359,0.000402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.250000,-5.668432,-0.183669,0.076664,0.030447,0.002384,0.000723,-0.000321,-0.000854,-2.325311,2.646736,0.085834,-0.106767,-0.000904,0.000588,0.000776,0.000269,2.962355,0.160377,-0.081426,-0.030147,-0.000793,0.000861,0.001087,0.000574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
